"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"41","Robert Woods","LA","wr","9","DAL","15","0","0","0","0","0","0","0","0.958","6.2543","0.0449","7.7587","5.4251","61.7538","0.3464","0.0313","0.0156","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Chris Carson","SEA","rb","6","@ATL","12.5","0","0","0","0","0","0","0","13.9823","58.934","0.3175","2.5955","2.1623","15.2568","0.1148","0.2492","0.1246","0.0203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","DeAndre Hopkins","ARZ","wr","8","@SF","14.8","0","0","0","0","0","0","0","0.1712","1.0656","0.0053","8.752","5.5941","66.6673","0.3117","0.0834","0.0417","0.0205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Odell Beckham Jr.","CLV","wr","9","@BLT","14.7","0","0","0","0","0","0","0","0.1985","1.0929","0.0043","8.5134","5.1887","69.6659","0.3107","0.028","0.014","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Courtland Sutton","DEN","wr","8","TEN","14.7","0","0","0","0","0","0","0","0.0071","0.0448","0.0003","7.8138","4.5874","72.2984","0.3736","0.0621","0.0311","0.0066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Calvin Ridley","ATL","wr","10","SEA","14.7","0","0","0","0","0","0","0","0.1454","0.9895","0.0054","7.5155","5.089","69.2363","0.3385","0.0674","0.0337","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","JuJu Smith-Schuster","PIT","wr","8","@NYG","14.6","0","0","0","0","0","0","0","0","0","0","8.1286","5.5013","65.8722","0.3391","0.065","0.0325","0.0152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Terry McLaurin","WAS","wr","8","PHI","14.6","0","0","0","0","0","0","0","0","0","0","6.8682","4.3208","71.2022","0.4294","0.0371","0.0186","0.0093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Clyde Edwards-Helaire","KC","rb","10","HST","12.1","0","0","0","0","0","0","0","10.8274","44.3675","0.3917","3.0824","2.4702","19.1046","0.1284","0.1186","0.0593","0.0107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Tyler Boyd","CIN","wr","9","LAC","14.3","0","0","0","0","0","0","0","0.2203","1.4034","0.0096","6.787","4.8966","64.5931","0.386","0.0599","0.0299","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","A.J. Green","CIN","wr","9","LAC","14.2","0","0","0","0","0","0","0","0","0","0","6.4706","4.2597","64.8739","0.5007","0.0659","0.033","0.0107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","D'Andre Swift","DET","rb","5","CHI","11.6","0","0","0","0","0","0","0","11.4667","46.4574","0.3682","2.8982","2.3205","16.7033","0.0976","0.1227","0.0613","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Julian Edelman","NE","wr","6","MIA","13.8","0","0","0","0","0","0","0","0.5515","3.7225","0.0261","7.7669","5.0844","61.3868","0.2779","0.0689","0.0345","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
