player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall
Justin Jackson,LAC,RB,0.8,0.0,0.0,0.0,0.0,0.0,13.4,0.1,95.2,75.45,1.7,358.1,67.93,261.0,72.0,True,0.47132874615564035,0.41309661470815856
Justin Jefferson,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,48.45,4.0,731.15,1.7,0.05,10.45,145.41,141.0,63.0,True,0.8581869774655838,0.8842687876448304
K.J. Hamle,DEN,WR,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,517.0,2.0,0.0,8.0,95.5,213.0,93.0,True,0.5636259978540902,0.5807555822851338
Kareem Hunt,CLE,RB,1.5,0.0,0.0,0.0,0.0,0.0,40.3,2.65,378.2,119.05,5.1,518.15,173.44,106.0,25.0,True,1.2034043534996945,1.0547251119532315
Keelan Cole,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,32.6,2.5,471.3,0.85,0.0,3.95,93.62,220.0,97.0,True,0.5525305331842925,0.5693229069480025
Keenan Allen,LAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,88.25,6.05,1098.95,6.45,0.05,45.55,237.8,50.0,11.0,True,1.403458243871232,1.4461118059414118
Kendrick Bourne,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,32.2,3.55,395.7,0.4,0.05,2.8,93.65,219.0,96.0,True,0.5527075884715764,0.5695053432565736
Kenny Golladay,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.25,8.45,1202.75,0.65,0.0,3.35,241.06,47.0,9.0,True,1.422698251756094,1.4659365514728206
Kenny Stills,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,32.25,3.55,474.9,0.0,0.0,0.0,101.04,202.0,87.0,True,0.596322207572537,0.6144454872679573
Kenyan Drake,ARI,RB,1.85,0.0,0.0,0.0,0.0,0.0,57.35,2.6,434.35,187.6,7.7,838.55,242.74,43.0,10.0,True,1.6842387728812032,1.4761529847528103
Kerryon Johnson,DET,RB,1.9,0.0,0.0,0.0,0.0,0.0,28.05,1.0,233.3,138.6,4.65,612.85,142.77,146.0,36.0,True,0.990602165297229,0.8682143924905609
Kirk Cousins,MIN,QB,4.65,477.95,324.45,10.6,25.45,3728.75,0.0,0.0,0.0,38.7,1.0,92.2,246.27,39.0,23.0,True,1.0944810414613526,1.4976196570613605
Kyle Juszczyk,SF,RB,0.5,0.0,0.0,0.0,0.0,0.0,24.1,1.4,234.3,10.5,0.2,26.1,58.74,275.0,75.0,True,0.407564412618612,0.3572102921825001
Kyle Rudolph,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,41.8,4.05,433.25,0.0,0.0,0.0,109.42,185.0,25.0,True,0.8194183118500007,0.6654060294621921
Kyler Murray,ARI,QB,1.95,562.15,364.85,13.9,24.8,3901.85,0.0,0.0,0.0,86.25,3.1,515.4,307.61,13.0,7.0,True,1.3670902390219135,1.870641095986702
LV  Henry Ruggs,LV,WR,2.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,874.0,2.0,0.0,11.0,164.5,118.0,51.0,True,0.9708531586073071,1.0003590919990002
Lamar Jackson,BAL,QB,2.7,468.75,301.25,13.05,31.85,3507.5,0.0,0.0,0.0,153.9,4.9,958.45,374.5,2.0,1.0,True,1.664364924786927,2.2774132519977237
Larry Fitzgerald,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,50.9,3.7,553.4,0.0,0.0,0.0,126.94,171.0,75.0,True,0.7491799389277299,0.7719488336677999
Latavius Murray,NO,RB,1.5,0.0,0.0,0.0,0.0,0.0,23.7,0.25,162.1,144.35,5.3,597.5,129.96,167.0,42.0,True,0.9017206514115562,0.7903140887306387
Laviska Shenault,JAC,WR,1.5,0.0,0.0,0.0,0.0,0.0,42.75,2.6,623.75,18.3,0.3,122.2,131.74,165.0,71.0,True,0.7775087848931711,0.8011386430391993
Le'Veon Bell,NYJ,RB,2.45,0.0,0.0,0.0,0.0,0.0,60.8,1.3,457.15,218.65,4.95,798.55,218.97,65.0,15.0,True,1.5193118731885846,1.3316026162615262
Leonard Fournette,TB,RB,1.5,0.0,0.0,0.0,0.0,0.0,25.05,0.25,203.9,180.65,7.4,633.85,151.73,135.0,33.0,True,1.052770655883929,0.9227020366505063
Logan Thomas,WAS,TE,0.5,0.0,0.0,0.0,0.0,0.0,37.35,2.15,370.65,0.0,0.0,0.0,86.32,229.0,37.0,True,0.6464283374053377,0.5249300718623324
Malcolm Brown,LAR,RB,0.5,0.0,0.0,0.0,0.0,0.0,9.9,1.1,83.2,98.7,3.1,381.0,80.52,238.0,64.0,True,0.5586838015670861,0.4896590522052249
Mark Andrews,BAL,TE,0.75,0.0,0.0,0.0,0.0,0.0,58.1,8.3,809.75,0.0,0.0,0.0,187.38,95.0,5.0,True,1.4032407537420317,1.139497183336004
Mark Ingram,BAL,RB,1.8,0.0,0.0,0.0,0.0,0.0,23.2,2.5,203.35,169.35,6.05,853.9,176.62,102.0,23.0,True,1.225468616899885,1.0740633606617838
Marlon Mack,IND,RB,1.6,0.0,0.0,0.0,0.0,0.0,14.35,0.25,90.25,185.7,6.4,817.4,141.82,147.0,37.0,True,0.9840106400676123,0.862437242719138
Marquise Brown,BAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.85,6.7,863.9,12.65,0.65,120.0,203.84,84.0,32.0,True,1.2030316586657355,1.239593904638761
Marvin Jones,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,64.0,7.2,857.3,1.4,0.0,0.45,191.48,89.0,36.0,True,1.1300848803047243,1.1644301455074075
Matt Breida,MIA,RB,1.75,0.0,0.0,0.0,0.0,0.0,36.8,1.75,276.6,145.6,3.0,628.05,152.27,132.0,31.0,True,1.0565174175933953,0.9259858902047888
Matt Ryan,ATL,QB,4.1,637.55,426.35,15.25,28.05,4747.2,0.0,0.0,0.0,34.55,1.7,130.75,301.91,14.0,8.0,True,1.3417581160011247,1.835978197358165
Matthew Stafford,DET,QB,4.05,566.95,360.75,14.0,25.65,4213.65,0.0,0.0,0.0,29.75,0.35,94.35,260.58,29.0,19.0,True,1.1580780029398596,1.5846417762498446
Mecole Hardman,KC,WR,1.5,0.0,0.0,0.0,0.0,0.0,35.9,5.85,603.15,6.05,0.1,25.65,131.48,166.0,72.0,True,0.7759743057367097,0.7995575283649151
Melvin Gordon,DEN,RB,1.7,0.0,0.0,0.0,0.0,0.0,45.15,1.8,369.3,182.95,7.5,736.55,208.14,80.0,18.0,True,1.444168485570955,1.2657431088673063
Michael Gallup,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.4,6.05,1044.5,0.0,0.0,0.0,201.65,85.0,33.0,True,1.190106622694003,1.2262760541130602
Michael Pittman,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,46.5,3.95,670.5,2.0,0.0,8.65,136.62,153.0,67.0,True,0.8063097782913696,0.8308149492334553
Michael Thomas,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,132.85,9.05,1576.1,0.15,0.0,-1.05,343.16,4.0,1.0,True,2.025276412812666,2.0868281216436286
Mike Davis,CAR,RB,0.75,0.0,0.0,0.0,0.0,0.0,17.45,0.05,106.6,72.6,2.7,297.7,72.88,252.0,68.0,True,0.505674061825748,0.44319860562241414
Mike Evans,TB,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.95,7.2,1183.45,0.25,0.0,1.55,230.15,61.0,17.0,True,1.35830914561381,1.399590547255744
Mike Gesicki,MIA,TE,1.5,0.0,0.0,0.0,0.0,0.0,57.75,4.15,639.1,0.0,0.0,0.0,143.56,145.0,14.0,True,1.0750840143409441,0.8730185486162703
Mike Williams,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,42.15,4.7,724.4,4.2,0.75,18.5,149.14,139.0,61.0,True,0.8802008515178953,0.906951702010522
Miles Boykin,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,28.8,4.1,395.75,0.0,0.0,0.0,92.98,222.0,99.0,True,0.5487533537222336,0.5654309323651492
Miles Sanders,PHI,RB,2.55,0.0,0.0,0.0,0.0,0.0,54.9,2.7,528.1,220.9,5.0,993.0,248.11,37.0,9.0,True,1.7214982365475624,1.5088090839870634
Mitchell Trubisky,CHI,QB,0.85,436.9,282.45,10.6,17.2,2782.65,0.0,0.0,0.0,32.15,1.3,146.25,190.23,91.0,30.0,True,0.8454262740780163,1.1568286326502724
N'Keal Harry,NE,WR,0.75,0.0,0.0,0.0,0.0,0.0,46.3,5.25,576.6,8.45,0.05,61.4,140.4,148.0,65.0,True,0.8286187444891546,0.8538019241134324
Nelson Agholo,LV,WR,0.75,0.0,0.0,0.0,0.0,0.0,39.2,2.2,440.6,2.2,0.0,22.15,97.18,210.0,91.0,True,0.5735410939419946,0.5909720155651237
Nick Boyle,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.4,2.85,320.3,0.0,0.0,0.0,80.53,237.0,38.0,True,0.6030685126419353,0.48971986430808195
Nick Chubb,CLE,RB,2.55,0.0,0.0,0.0,0.0,0.0,20.45,1.05,161.75,268.5,8.95,1294.5,220.98,64.0,14.0,True,1.5332581528849314,1.3438258489357997
Nick Foles,CHI,QB,0.95,114.35,73.5,3.65,5.95,991.95,0.0,0.0,0.0,5.65,0.1,16.75,60.2,272.0,35.0,True,0.2675427729564032,0.36608885919963413
Noah Fant,DEN,TE,0.75,0.0,0.0,0.0,0.0,0.0,51.8,4.75,714.2,0.0,0.0,0.0,150.22,138.0,12.0,True,1.1249590459340806,0.9135194091190869
Nyheim Hines,IND,RB,0.75,0.0,0.0,0.0,0.0,0.0,45.95,1.2,340.6,54.8,1.75,213.05,117.52,178.0,46.0,True,0.8154063631416288,0.7146638327764285
O.J. Howard,TB,TE,0.75,0.0,0.0,0.0,0.0,0.0,34.2,2.85,486.85,0.0,0.0,0.0,98.49,207.0,31.0,True,0.73756634558679,0.5989384010394013
Odell Beckham,CLE,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.35,6.2,1114.25,3.85,0.0,16.1,224.09,63.0,19.0,True,1.3225439775824406,1.3627384129243523
Parris Campbell,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,37.65,2.9,432.05,5.35,0.05,41.2,101.18,201.0,86.0,True,0.5971484655798622,0.6152968567079565
Patrick Mahomes,KC,QB,1.6,566.15,368.7,10.45,34.25,4561.5,0.0,0.0,0.0,59.8,3.4,338.0,360.01,3.0,2.0,True,1.599968001528816,2.1892965149578116
Peyton Barbe,WAS,RB,0.85,0.0,0.0,0.0,0.0,0.0,8.4,0.1,50.4,71.55,1.9,266.3,50.37,297.0,83.0,True,0.3494896061218843,0.3063105620911224
Philip Rivers,IND,QB,2.35,531.85,329.9,12.75,25.1,3748.1,0.0,0.0,0.0,17.2,0.1,32.05,236.68,51.0,27.0,True,1.0518608555369022,1.4393008504214186
Phillip Lindsay,DEN,RB,1.5,0.0,0.0,0.0,0.0,0.0,38.3,0.9,256.55,150.55,4.65,668.75,161.13,124.0,30.0,True,1.1179920634190832,0.9798654133361635
Phillip Walke,CAR,QB,0.2,18.0,12.0,1.4,1.6,332.5,0.0,0.0,0.0,1.0,0.4,61.2,26.42,367.0,38.0,True,0.11741661231741152,0.16066557574841087
Preston Williams,MIA,WR,1.5,0.0,0.0,0.0,0.0,0.0,61.8,6.1,851.45,0.85,0.0,3.3,180.88,100.0,42.0,True,1.0675253454643752,1.0999693164789006
Raheem Mostert,SF,RB,2.1,0.0,0.0,0.0,0.0,0.0,16.3,1.0,141.4,159.0,7.6,861.05,163.94,119.0,29.0,True,1.1374891012035282,0.9969536142390035
Randall Cobb,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,48.65,2.95,621.6,2.65,0.05,13.4,128.65,170.0,74.0,True,0.7592720903029184,0.7823477032563609
Rashaad Penny,SEA,RB,1.0,0.0,0.0,0.0,0.0,0.0,7.25,0.15,65.8,57.85,1.7,275.4,50.47,296.0,82.0,True,0.3501834508828966,0.3069186831196932
Rex Burkhead,NE,RB,0.75,0.0,0.0,0.0,0.0,0.0,20.55,0.35,188.1,58.55,1.9,223.35,73.69,250.0,67.0,True,0.5112942043899474,0.4481243859538378
Rob Gronkowski,TB,TE,0.75,0.0,0.0,0.0,0.0,0.0,48.05,3.8,760.0,0.0,0.0,0.0,145.35,142.0,13.0,True,1.0884888651745348,0.883903915027688
Robby Anderson,CAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,51.4,4.6,743.6,1.5,0.0,-0.09999999999999998,151.85,134.0,59.0,True,0.8961948458025507,0.9234317818847912
Robert Woods,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,89.8,4.55,1132.8,16.95,0.9,100.5,244.33,42.0,8.0,True,1.441997278070051,1.4858221091070865
Ronald Jones,TB,RB,1.75,0.0,0.0,0.0,0.0,0.0,25.7,0.4,224.55,154.5,5.4,651.1,144.56,143.0,35.0,True,1.0030219865193488,0.8790997589019786
Royce Freeman,DEN,RB,0.8,0.0,0.0,0.0,0.0,0.0,19.95,0.75,124.1,39.95,1.0,152.6,56.52,282.0,77.0,True,0.39216105892413944,0.34371000534822793
Russell Gage,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,38.5,2.6,445.3,3.3,0.1,22.4,101.47,199.0,85.0,True,0.5988600000236076,0.6170604076908118
Russell Wilson,SEA,QB,1.8,489.6,325.0,8.7,29.3,3961.05,0.0,0.0,0.0,72.05,2.2,370.35,313.58,10.0,6.0,True,1.3936223047121084,1.9069459213923796
Ryan Fitzpatrick,MIA,QB,0.85,256.85,160.95,8.3,10.3,1735.9,0.0,0.0,0.0,25.5,1.6,120.3,122.27,174.0,33.0,True,0.5433962599564688,0.7435495816335426
Ryan Tannehill,TEN,QB,3.4,429.55,283.4,11.25,24.3,3562.4,0.0,0.0,0.0,61.2,2.75,257.95,263.94,25.0,16.0,True,1.1730106228257984,1.6050746428098244
Ryquell Armstead,JAC,RB,1.0,0.0,0.0,0.0,0.0,0.0,12.45,1.55,121.55,93.2,1.85,323.75,75.38,247.5,66.0,True,0.523020180851055,0.45840163133668466
Sam Darnold,NYJ,QB,2.6,517.0,326.5,18.8,22.45,3628.1,0.0,0.0,0.0,42.95,1.8,124.75,234.2,54.0,28.0,True,1.0408391599068045,1.4242194489128621
Sammy Watkins,KC,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.25,4.25,809.8,3.45,0.0,28.75,168.1,115.0,48.0,True,0.992099793081388,1.0222514490275496
Saquon Barkley,NYG,RB,2.25,0.0,0.0,0.0,0.0,0.0,72.65,2.85,583.7,270.65,9.5,1237.55,324.38,7.0,2.0,True,2.2506936357716265,1.9726229924780283
Sony Michel,NE,RB,1.7,0.0,0.0,0.0,0.0,0.0,9.6,0.15,69.5,165.6,4.85,667.0,109.85,184.0,49.0,True,0.7621884699719871,0.6680209498850466
Stefon Diggs,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,68.65,6.55,990.8,9.3,0.05,79.0,213.73,73.0,24.0,True,1.2614008850403633,1.2997370743644152
Sterling Shepard,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,4.35,846.6,4.65,0.0,43.25,186.33,97.0,40.0,True,1.09969038932097,1.1331119125360105
