player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_typical_position,percent_typical_overall
Danny Amendola,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,66.15,3.55,703.95,0.65,0.0,0.0,156.35,128.0,57.0,True,0.8643852277753207,0.8643852277753207
Darius Slayton,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,52.85,6.4,799.35,0.0,0.0,0.0,169.68,110.0,46.0,True,0.9380804953560372,0.9380804953560372
Darrel Williams,KC,RB,1.65,0.0,0.0,0.0,0.0,0.0,13.55,0.95,124.65,97.55,4.65,325.75,88.89,227.0,59.0,True,0.4914307828394516,0.4914307828394516
Darrell Henderson,LAR,RB,1.65,0.0,0.0,0.0,0.0,0.0,20.2,0.95,172.2,125.85,2.9,468.4,104.06,194.0,51.0,True,0.5752985404688191,0.5752985404688191
Darren Fells,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.8,4.4,314.7,0.0,0.0,0.0,89.67,226.0,35.0,True,0.49574303405572756,0.49574303405572756
Darren Walle,LV,TE,0.75,0.0,0.0,0.0,0.0,0.0,77.25,4.3,957.35,0.0,0.0,0.0,197.29,87.0,4.0,True,1.0907231313578063,1.0907231313578063
Darrynton Evans,TEN,RB,1.65,0.0,0.0,0.0,0.0,0.0,23.25,1.0,222.35,79.05,2.15,352.65,96.35,211.0,56.0,True,0.5326735957540911,0.5326735957540911
Davante Adams,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,108.65,10.65,1385.65,0.0,0.0,0.0,309.62,11.0,2.0,True,1.7117425917735516,1.7117425917735516
David Johnson,HOU,RB,1.95,0.0,0.0,0.0,0.0,0.0,41.05,3.5,417.0,207.55,4.6,802.6,207.71,82.0,19.0,True,1.1483303847854933,1.1483303847854933
David Montgomery,CHI,RB,1.95,0.0,0.0,0.0,0.0,0.0,19.55,0.9,151.6,212.35,6.25,783.35,152.05,133.0,32.0,True,0.8406125608137993,0.8406125608137993
David Njoku,CLE,TE,0.25,0.0,0.0,0.0,0.0,0.0,36.15,3.1,406.8,0.0,0.0,0.0,94.93,214.0,32.0,True,0.5248230871295887,0.5248230871295887
Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,36.4,3.0,487.05,0.0,0.0,0.0,103.1,196.0,29.0,True,0.5699911543564794,0.5699911543564794
DeAndre Hopkins,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,99.0,7.8,1185.75,0.75,0.0,3.25,263.2,27.0,5.0,True,1.4551083591331269,1.4551083591331269
DeSean Jackson,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,49.85,5.05,766.05,5.65,0.7,29.75,162.43,122.0,53.0,True,0.8979986731534719,0.8979986731534719
DeVante Parke,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.0,6.2,1044.45,0.2,0.0,1.3,209.28,77.0,28.0,True,1.1570101724900488,1.1570101724900488
Dede Westbrook,JAC,WR,0.5,0.0,0.0,0.0,0.0,0.0,54.7,2.9,591.7,3.8,0.1,28.8,133.75,162.0,70.0,True,0.7394405130473242,0.7394405130473242
DeeJay Dallas,SEA,RB,0.8,0.0,0.0,0.0,0.0,0.0,18.5,0.7,179.65,47.8,1.45,200.55,67.82,262.0,73.0,True,0.37494471472799645,0.37494471472799645
Deebo Samuel,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,53.5,3.55,739.25,14.35,1.5,173.65,173.59,105.0,44.0,True,0.9596970367094206,0.9596970367094206
Denzel Mims,NYJ,WR,0.75,0.0,0.0,0.0,0.0,0.0,33.75,1.95,482.4,1.35,0.0,5.35,92.72,223.0,100.0,True,0.5126050420168067,0.5126050420168067
Derek Ca,LV,QB,4.05,493.1,341.3,10.7,23.0,3774.05,0.0,0.0,0.0,25.0,1.65,69.6,241.02,48.0,26.0,True,1.3324856258292792,1.3324856258292792
Derrick Henry,TEN,RB,2.7,0.0,0.0,0.0,0.0,0.0,19.75,1.0,171.6,298.75,11.55,1534.7,260.28,30.0,6.0,True,1.4389650597080936,1.4389650597080936
Deshaun Watson,HOU,QB,2.4,523.05,347.65,14.45,24.95,4046.8,0.0,0.0,0.0,92.95,5.4,505.15,325.34,6.0,4.0,True,1.7986510393631137,1.7986510393631137
Devin Asiasi,NE,TE,0.75,0.0,0.0,0.0,0.0,0.0,36.1,2.7,361.95,0.0,0.0,0.0,87.0,228.0,36.0,True,0.48098186643078283,0.48098186643078283
Devin Singletary,BUF,RB,1.8,0.0,0.0,0.0,0.0,0.0,36.65,1.75,285.1,154.2,3.45,799.15,172.68,107.0,26.0,True,0.9546660769570987,0.9546660769570987
Devine Ozigbo,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,22.85,0.8,196.45,111.35,2.2,433.75,100.67,205.0,54.0,True,0.5565568332596197,0.5565568332596197
Dion Lewis,NYG,RB,0.85,0.0,0.0,0.0,0.0,0.0,29.05,0.9,182.4,59.8,0.9,196.15,76.0,243.0,65.0,True,0.42016806722689076,0.42016806722689076
Diontae Johnson,PIT,WR,1.5,0.0,0.0,0.0,0.0,0.0,69.3,6.4,833.1,3.8,0.0,34.45,191.46,90.0,37.0,True,1.0584918177797435,1.0584918177797435
Dontrelle Inman,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.5,2.7,476.2,0.0,0.0,0.0,98.32,208.0,90.0,True,0.5435647943387881,0.5435647943387881
Drew Brees,NO,QB,0.85,527.4,376.2,10.0,30.3,4030.1,0.0,0.0,0.0,23.0,1.55,30.8,283.08,18.0,10.0,True,1.5650154798761609,1.5650154798761609
Drew Lock,DEN,QB,3.5,534.25,341.45,13.9,22.9,3788.75,0.0,0.0,0.0,39.05,0.6,167.9,242.64,44.0,25.0,True,1.3414418398938521,1.3414418398938521
Duke Johnson,HOU,RB,0.85,0.0,0.0,0.0,0.0,0.0,35.85,2.1,317.05,95.55,1.95,459.0,136.06,155.0,40.0,True,0.7522114108801415,0.7522114108801415
Dwayne Haskins,WAS,QB,2.5,437.6,270.4,15.4,17.6,2975.7,0.0,0.0,0.0,27.35,0.4,118.15,183.24,98.0,31.0,True,1.013047324192835,1.013047324192835
Emmanuel Sanders,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,63.85,4.85,749.8,1.35,0.0,14.65,167.9,116.0,49.0,True,0.9282397169394074,0.9282397169394074
Eric Ebron,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,46.8,4.55,517.0,0.0,0.0,0.0,125.8,172.0,23.0,True,0.6954887218045113,0.6954887218045113
Evan Engram,NYG,TE,0.75,0.0,0.0,0.0,0.0,0.0,68.55,5.0,804.75,0.0,0.0,0.0,177.52,101.0,6.0,True,0.9814241486068113,0.9814241486068113
Ezekiel Elliott,DAL,RB,3.3,0.0,0.0,0.0,0.0,0.0,66.0,2.8,530.2,287.0,9.3,1289.35,313.96,9.0,3.0,True,1.735736399823087,1.735736399823087
Frank Gore,NYJ,RB,0.75,0.0,0.0,0.0,0.0,0.0,12.15,0.15,98.65,112.0,1.95,354.05,68.52,259.0,71.0,True,0.3788146837682441,0.3788146837682441
Gardner Minshew,JAC,QB,6.75,555.6,343.55,11.5,22.5,3808.55,0.0,0.0,0.0,74.75,1.4,369.1,262.65,28.0,18.0,True,1.4520676691729322,1.4520676691729322
George Kittle,SF,TE,0.75,0.0,0.0,0.0,0.0,0.0,87.35,6.2,1135.5,0.0,0.0,0.0,236.6,52.0,2.0,True,1.3080495356037152,1.3080495356037152
Gerald Everett,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,2.75,403.0,0.0,0.0,0.0,94.85,215.0,33.0,True,0.5243808049535603,0.5243808049535603
Giovani Bernard,CIN,RB,0.75,0.0,0.0,0.0,0.0,0.0,33.3,0.35,240.15,84.95,2.4,285.15,100.83,203.0,53.0,True,0.5574413976116762,0.5574413976116762
