player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player
Chase Edmonds,ARI,RB,0.75,0.0,0.0,0.0,0.0,0.0,19.8,0.9,136.45,103.2,3.9,418.25,102.57,198.0,52.0,True
Chris Carson,SEA,RB,2.7,0.0,0.0,0.0,0.0,0.0,28.1,1.15,212.35,239.75,7.9,1075.95,205.83,83.0,20.0,True
Chris Conley,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,41.85,3.05,550.9,0.0,0.0,0.0,113.74,180.0,77.0,True
Chris Godwin,TB,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.1,7.85,1188.8,1.05,0.05,5.8,244.46,41.0,7.0,True
Chris Herndon,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,563.0,0.0,0.0,0.0,136.3,154.0,16.0,True
Chris Herndon IV,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,48.8,4.6,585.1,0.0,0.0,0.0,134.91,157.0,17.0,True
Chris Thompson,JAC,RB,0.75,0.0,0.0,0.0,0.0,0.0,43.85,1.2,353.0,47.05,1.15,225.4,114.29,179.0,47.0,True
Christian Kirk,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.35,4.9,824.5,6.85,0.0,63.5,188.05,94.0,39.0,True
Christian McCaffrey,CAR,RB,3.1,0.0,0.0,0.0,0.0,0.0,108.4,4.75,912.35,249.35,8.75,1132.45,387.68,1.0,1.0,True
Clyde Edwards-Helaire,KC,RB,2.6,0.0,0.0,0.0,0.0,0.0,50.2,3.55,513.95,196.65,9.1,876.7,259.97,31.0,7.0,True
Cole Beasley,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,59.3,4.6,693.45,0.0,0.0,0.0,154.74,130.0,58.0,True
Cole Kmet,CHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,32.1,2.45,329.85,0.0,0.0,0.0,78.29,240.0,39.0,True
Cooper Kupp,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,87.15,8.9,1076.75,2.65,0.0,11.35,247.86,38.0,6.0,True
Corey Davis,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,47.85,3.35,669.45,2.25,0.0,20.85,135.48,156.0,68.0,True
Courtland Sutton,DEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,67.5,6.55,1070.7,1.4,0.0,4.45,212.82,75.0,26.0,True
Curtis Samuel,CAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.4,4.5,519.9,18.8,1.55,140.45,144.23,144.0,64.0,True
D'Andre Swift,DET,RB,2.35,0.0,0.0,0.0,0.0,0.0,32.5,1.65,334.6,142.75,3.7,579.3,151.29,136.0,34.0,True
D.J. Chark,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,6.5,993.35,1.0,0.0,10.85,210.67,76.0,27.0,True
D.J. Moore,CAR,WR,1.5,0.0,0.0,0.0,0.0,0.0,83.4,4.85,1216.45,7.2,0.05,73.55,238.8,49.0,10.0,True
D.K. Metcalf,SEA,WR,1.5,0.0,0.0,0.0,0.0,0.0,66.1,7.3,1002.9,1.1,0.0,6.5,207.84,81.0,31.0,True
DK Metcalf,SEA,WR,3.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,1055.0,2.0,0.0,10.0,214.5,72.0,23.0,True
Dak Prescott,DAL,QB,3.15,580.45,381.45,12.55,29.6,4628.45,0.0,0.0,0.0,64.7,4.35,277.7,338.56,5.0,3.0,True
Dallas Goedert,PHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,52.8,4.75,547.3,0.0,0.0,0.0,134.53,159.0,18.0,True
Dalvin Cook,MIN,RB,2.85,0.0,0.0,0.0,0.0,0.0,55.55,1.45,498.7,268.4,10.4,1181.15,288.94,17.0,5.0,True
Damien Harris,NE,RB,1.5,0.0,0.0,0.0,0.0,0.0,7.25,0.05,63.15,119.55,3.15,407.95,70.56,256.0,70.0,True
Daniel Jones,NYG,QB,10.95,574.1,362.1,17.0,25.0,3961.7,0.0,0.0,0.0,56.7,2.75,318.0,267.87,24.0,15.0,True
Danny Amendola,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,66.15,3.55,703.95,0.65,0.0,0.0,156.35,128.0,57.0,True
Darius Slayton,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,52.85,6.4,799.35,0.0,0.0,0.0,169.68,110.0,46.0,True
Darrel Williams,KC,RB,1.65,0.0,0.0,0.0,0.0,0.0,13.55,0.95,124.65,97.55,4.65,325.75,88.89,227.0,59.0,True
Darrell Henderson,LAR,RB,1.65,0.0,0.0,0.0,0.0,0.0,20.2,0.95,172.2,125.85,2.9,468.4,104.06,194.0,51.0,True
Darren Fells,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.8,4.4,314.7,0.0,0.0,0.0,89.67,226.0,35.0,True
Darren Walle,LV,TE,0.75,0.0,0.0,0.0,0.0,0.0,77.25,4.3,957.35,0.0,0.0,0.0,197.29,87.0,4.0,True
Darrynton Evans,TEN,RB,1.65,0.0,0.0,0.0,0.0,0.0,23.25,1.0,222.35,79.05,2.15,352.65,96.35,211.0,56.0,True
Davante Adams,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,108.65,10.65,1385.65,0.0,0.0,0.0,309.62,11.0,2.0,True
David Johnson,HOU,RB,1.95,0.0,0.0,0.0,0.0,0.0,41.05,3.5,417.0,207.55,4.6,802.6,207.71,82.0,19.0,True
David Montgomery,CHI,RB,1.95,0.0,0.0,0.0,0.0,0.0,19.55,0.9,151.6,212.35,6.25,783.35,152.05,133.0,32.0,True
David Njoku,CLE,TE,0.25,0.0,0.0,0.0,0.0,0.0,36.15,3.1,406.8,0.0,0.0,0.0,94.93,214.0,32.0,True
Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,36.4,3.0,487.05,0.0,0.0,0.0,103.1,196.0,29.0,True
DeAndre Hopkins,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,99.0,7.8,1185.75,0.75,0.0,3.25,263.2,27.0,5.0,True
DeSean Jackson,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,49.85,5.05,766.05,5.65,0.7,29.75,162.43,122.0,53.0,True
DeVante Parke,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.0,6.2,1044.45,0.2,0.0,1.3,209.28,77.0,28.0,True
Dede Westbrook,JAC,WR,0.5,0.0,0.0,0.0,0.0,0.0,54.7,2.9,591.7,3.8,0.1,28.8,133.75,162.0,70.0,True
DeeJay Dallas,SEA,RB,0.8,0.0,0.0,0.0,0.0,0.0,18.5,0.7,179.65,47.8,1.45,200.55,67.82,262.0,73.0,True
Deebo Samuel,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,53.5,3.55,739.25,14.35,1.5,173.65,173.59,105.0,44.0,True
Denzel Mims,NYJ,WR,0.75,0.0,0.0,0.0,0.0,0.0,33.75,1.95,482.4,1.35,0.0,5.35,92.72,223.0,100.0,True
Derek Ca,LV,QB,4.05,493.1,341.3,10.7,23.0,3774.05,0.0,0.0,0.0,25.0,1.65,69.6,241.02,48.0,26.0,True
Derrick Henry,TEN,RB,2.7,0.0,0.0,0.0,0.0,0.0,19.75,1.0,171.6,298.75,11.55,1534.7,260.28,30.0,6.0,True
Deshaun Watson,HOU,QB,2.4,523.05,347.65,14.45,24.95,4046.8,0.0,0.0,0.0,92.95,5.4,505.15,325.34,6.0,4.0,True
Devin Asiasi,NE,TE,0.75,0.0,0.0,0.0,0.0,0.0,36.1,2.7,361.95,0.0,0.0,0.0,87.0,228.0,36.0,True
Devin Singletary,BUF,RB,1.8,0.0,0.0,0.0,0.0,0.0,36.65,1.75,285.1,154.2,3.45,799.15,172.68,107.0,26.0,True
Devine Ozigbo,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,22.85,0.8,196.45,111.35,2.2,433.75,100.67,205.0,54.0,True
Dion Lewis,NYG,RB,0.85,0.0,0.0,0.0,0.0,0.0,29.05,0.9,182.4,59.8,0.9,196.15,76.0,243.0,65.0,True
Diontae Johnson,PIT,WR,1.5,0.0,0.0,0.0,0.0,0.0,69.3,6.4,833.1,3.8,0.0,34.45,191.46,90.0,37.0,True
Dontrelle Inman,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.5,2.7,476.2,0.0,0.0,0.0,98.32,208.0,90.0,True
Drew Brees,NO,QB,0.85,527.4,376.2,10.0,30.3,4030.1,0.0,0.0,0.0,23.0,1.55,30.8,283.08,18.0,10.0,True
Drew Lock,DEN,QB,3.5,534.25,341.45,13.9,22.9,3788.75,0.0,0.0,0.0,39.05,0.6,167.9,242.64,44.0,25.0,True
Duke Johnson,HOU,RB,0.85,0.0,0.0,0.0,0.0,0.0,35.85,2.1,317.05,95.55,1.95,459.0,136.06,155.0,40.0,True
Dwayne Haskins,WAS,QB,2.5,437.6,270.4,15.4,17.6,2975.7,0.0,0.0,0.0,27.35,0.4,118.15,183.24,98.0,31.0,True
Emmanuel Sanders,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,63.85,4.85,749.8,1.35,0.0,14.65,167.9,116.0,49.0,True
Eric Ebron,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,46.8,4.55,517.0,0.0,0.0,0.0,125.8,172.0,23.0,True
Evan Engram,NYG,TE,0.75,0.0,0.0,0.0,0.0,0.0,68.55,5.0,804.75,0.0,0.0,0.0,177.52,101.0,6.0,True
Ezekiel Elliott,DAL,RB,3.3,0.0,0.0,0.0,0.0,0.0,66.0,2.8,530.2,287.0,9.3,1289.35,313.96,9.0,3.0,True
Frank Gore,NYJ,RB,0.75,0.0,0.0,0.0,0.0,0.0,12.15,0.15,98.65,112.0,1.95,354.05,68.52,259.0,71.0,True
Gardner Minshew,JAC,QB,6.75,555.6,343.55,11.5,22.5,3808.55,0.0,0.0,0.0,74.75,1.4,369.1,262.65,28.0,18.0,True
George Kittle,SF,TE,0.75,0.0,0.0,0.0,0.0,0.0,87.35,6.2,1135.5,0.0,0.0,0.0,236.6,52.0,2.0,True
Gerald Everett,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,2.75,403.0,0.0,0.0,0.0,94.85,215.0,33.0,True
Giovani Bernard,CIN,RB,0.75,0.0,0.0,0.0,0.0,0.0,33.3,0.35,240.15,84.95,2.4,285.15,100.83,203.0,53.0,True
Golden Tate,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,65.85,5.05,799.1,2.3,0.0,19.2,176.48,103.0,43.0,True
Greg Olsen,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,3.8,465.2,0.0,0.0,0.0,107.37,188.0,27.0,True
