player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
O.J. Howard,TB,TE,0.75,0.0,0.0,0.0,0.0,0.0,34.2,2.85,486.85,0.0,0.0,0.0,81.39,209.0,30.0,True,0.7519922389300812,0.551872317229959,0.534125213282583,0.5237451737451737,0.7659154001787984,0.6129226598388432,0.01879980597325203,0.16295936987503723
Odell Beckham,CLE,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.35,6.2,1114.25,3.85,0.0,16.1,186.41,71.0,20.0,True,1.3286898210285247,1.2639700043597082,1.2233232707704422,1.1995495495495494,1.36329396277471,1.4037954665260937,0.013286898210285248,0.7047088265461406
Parris Campbell,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,37.65,2.9,432.05,5.35,0.05,41.2,82.35,205.0,87.0,True,0.586972838161574,0.5583816847756127,0.540425252657829,0.5299227799227799,0.6022598456869125,0.6201521198885457,0.00586972838161574,0.0727653869209478
Patrick Mahomes,KC,QB,1.6,566.15,368.7,10.45,34.25,4561.5,0.0,0.0,0.0,59.8,3.4,338.0,360.01,2.0,2.0,True,1.6018367217542298,2.441080635532099,2.3625803911274446,2.3166666666666664,1.4247101191182872,2.7111228255139688,0.04004591804385573,0.9182963604833408
Philip Rivers,IND,QB,2.35,531.85,329.9,12.75,25.1,3748.1,0.0,0.0,0.0,17.2,0.1,32.05,236.68,36.0,27.0,True,1.0530894011410548,1.6048303236513908,1.5532222076387978,1.523037323037323,0.9366417349321303,1.7823631297537463,0.026327235028526363,0.15349285255836254
Phillip Lindsay,DEN,RB,1.5,0.0,0.0,0.0,0.0,0.0,38.3,0.9,256.55,150.55,4.65,668.75,141.98,115.0,31.0,True,1.0369499076492557,0.9627083376374195,0.9317495734348339,0.9136422136422135,1.0993418505613626,1.069207018600798,0.013644077732227046,0.39784912137059636
Phillip Walke,CAR,QB,0.2,18.0,12.0,1.4,1.6,332.5,0.0,0.0,0.0,1.0,0.4,61.2,26.42,343.0,38.0,True,0.11755375180896852,0.17914321932934657,0.17338233363958527,0.17001287001287002,0.10455498832561637,0.19896076511785524,0.002938843795224212,0.0041301767644464915
Preston Williams,MIA,WR,1.5,0.0,0.0,0.0,0.0,0.0,61.8,6.1,851.45,0.85,0.0,3.3,149.98,106.0,41.0,True,1.0690247269881343,1.0169530671845342,0.9842499015618847,0.9651222651222651,1.0968662010458183,1.1294525190149858,0.010690247269881345,0.45316869107551827
Raheem Mostert,SF,RB,2.1,0.0,0.0,0.0,0.0,0.0,16.3,1.0,141.4,159.0,7.6,861.05,155.8,99.0,24.0,True,1.1378841781360336,1.0564161079300605,1.0224438902743143,1.0025740025740026,1.2063492063492063,1.1732811205663076,0.014972160238632019,0.49822890299616174
Randall Cobb,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,48.65,2.95,621.6,2.65,0.05,13.4,104.33,174.0,74.0,True,0.7436414839756772,0.7074190792063106,0.6846699041869012,0.6713642213642214,0.7630087395326726,0.7856766322765267,0.0074364148397567725,0.154847497542697
Rex Burkhead,NE,RB,0.75,0.0,0.0,0.0,0.0,0.0,20.55,0.35,188.1,58.55,1.9,223.35,63.42,245.0,69.0,True,0.4631875133336794,0.43002509348475243,0.41619635122719517,0.4081081081081081,0.49105691056910566,0.47759620453347384,0.006094572543864201,0.038911279860233905
Rob Gronkowski,TB,TE,0.75,0.0,0.0,0.0,0.0,0.0,48.05,3.8,760.0,0.0,0.0,0.0,121.32,149.0,13.0,True,1.1209202411475296,0.8226213235819956,0.7961674760467252,0.7806949806949807,1.1416741165953044,0.9136230137811581,0.028023006028688242,0.552650543967847
