fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,player,position,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,team,source,pname_merge
0.0,,,,,,J.J. Arcega-Whiteside,WR,18.0,1.6,216.9,0.4,0.0,2.9,PHI,FantasyPros,jjarcegawhiteside
0.0,,,,,,James O'Shaughnessy,TE,22.7,1.5,228.2,0.0,0.0,0.0,JAC,FantasyPros,jamesoshaughnessy
0.0,,,,,,Maxx Williams,TE,21.9,1.5,220.7,0.0,0.0,0.0,ARI,FantasyPros,maxxwilliams
0.6,,,,,,DeeJay Dallas,RB,11.0,0.4,97.3,37.6,0.9,139.1,SEA,FantasyPros,deejaydallas
0.0,,,,,,Jacob Holliste,TE,20.7,1.6,204.3,0.0,0.0,0.0,SEA,FantasyPros,jacobholliste
0.0,,,,,,Logan Thomas,TE,21.7,1.3,220.3,0.0,0.0,0.0,WAS,FantasyPros,loganthomas
0.2,,,,,,Ryan Nall,RB,6.9,0.3,57.0,42.8,0.9,172.9,CHI,FantasyPros,ryannall
0.6,,,,,,Justice Hill,RB,9.3,0.2,74.1,29.6,1.2,140.3,BAL,FantasyPros,justicehill
0.0,,,,,,Richie James,WR,15.8,1.4,197.2,0.0,0.0,0.0,SF,FantasyPros,richiejames
0.0,,,,,,Kalif Raymond,WR,13.0,1.3,202.2,0.0,0.0,0.0,TEN,FantasyPros,kalifraymond
0.0,,,,,,Tim Patrick,WR,16.7,1.2,207.8,0.1,0.0,0.4,DEN,FantasyPros,timpatrick
0.0,,,,,,Jason Witten,TE,21.2,1.6,187.7,0.0,0.0,0.0,LV,FantasyPros,jasonwitten
0.0,,,,,,Robert Tonyan,TE,15.9,1.8,173.3,0.0,0.0,0.0,GB,FantasyPros,roberttonyan
0.0,,,,,,Tyler Kroft,TE,16.8,1.7,174.3,0.0,0.0,0.0,BUF,FantasyPros,tylerkroft
0.0,,,,,,Jaylen Samuels,RB,16.1,0.3,117.2,32.8,0.6,97.1,PIT,FantasyPros,jaylensamuels
0.0,,,,,,Mo Alie-Cox,TE,13.9,1.4,187.7,0.0,0.0,0.0,IND,FantasyPros,moaliecox
0.0,,,,,,Jeremy Sprinkle,TE,21.7,1.2,199.0,0.0,0.0,0.0,WAS,FantasyPros,jeremysprinkle
0.0,,,,,,Rashard Higgins,WR,14.6,1.3,187.9,0.0,0.0,0.0,CLE,FantasyPros,rashardhiggins
0.0,,,,,,Jaeden Graham,TE,17.9,1.0,208.5,0.0,0.0,0.0,ATL,FantasyPros,jaedengraham
1.0,,,,,,Adam Shaheen,TE,19.8,1.6,186.7,0.0,0.0,0.0,MIA,FantasyPros,adamshaheen
0.5,,,,,,Corey Clement,RB,8.1,0.1,59.0,38.0,1.0,137.0,PHI,FantasyPros,coreyclement
0.0,,,,,,Harrison Bryant,TE,16.0,1.0,189.0,0.0,0.0,0.0,CLE,FantasyPros,harrisonbryant
0.0,,,,,,Josh Hill,TE,18.2,1.3,173.5,0.0,0.0,0.0,NO,FantasyPros,joshhill
0.0,,,,,,Marvin Hall,WR,11.8,1.1,182.3,0.0,0.0,0.0,DET,FantasyPros,marvinhall
0.0,,,,,,Trent Taylo,WR,16.7,0.9,197.0,0.0,0.0,0.0,SF,FantasyPros,trenttaylo
0.0,,,,,,Rico Dowdle,RB,4.0,0.0,42.0,32.0,1.0,145.0,DAL,FantasyPros,ricodowdle
0.0,,,,,,Andy Janovich,RB,10.3,1.2,106.3,3.0,0.7,25.2,CLE,FantasyPros,andyjanovich
0.0,,,,,,K.J. Hill,WR,14.3,1.1,177.8,0.0,0.0,0.0,LAC,FantasyPros,kjhill
0.6,,,,,,Darwin Thompson,RB,8.5,0.2,51.7,32.8,0.7,147.2,KC,FantasyPros,darwinthompson
0.5,,,,,,J.D. McKissic,RB,14.3,0.6,92.5,29.8,0.3,106.2,WAS,FantasyPros,jdmckissic
0.0,,,,,,Donovan Peoples-Jones,WR,14.0,1.1,171.7,0.0,0.0,0.0,CLE,FantasyPros,donovanpeoplesjones
0.0,,,,,,Riley Ridley,WR,13.4,1.1,165.5,0.0,0.0,0.0,CHI,FantasyPros,rileyridley
0.2,,,,,,Mike Boone,RB,3.9,0.1,34.6,29.5,0.9,140.1,MIN,FantasyPros,mikeboone
0.0,,,,,,Garrett Griffin,TE,12.0,2.0,111.0,0.0,0.0,0.0,NO,FantasyPros,garrettgriffin
1.0,,,,,,Josiah Deguara,TE,18.0,1.0,185.0,0.0,0.0,0.0,GB,FantasyPros,josiahdeguara
0.0,,,,,,Tajae Sharpe,WR,12.8,0.9,170.2,0.0,0.0,0.0,MIN,FantasyPros,tajaesharpe
